Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1,Val Precision,Val Recall
1,0.6392940620901764,0.5874704491725768,0.5857714777508243,0.2604110259959038,0.8067567567567567,0.8050594404182946,0.8393182641325411,0.8067567567567567
2,0.33784881330305533,0.7818304626815266,0.7815332903596696,0.1707422836346829,0.8601351351351352,0.8600174663102645,0.8658083236030127,0.8601351351351352
3,0.2589215474824111,0.8177980412022965,0.817650298770263,0.1350658264090406,0.8837837837837837,0.8836591504232887,0.8896241408496801,0.8837837837837837
4,0.22778584862187987,0.8343465045592705,0.8341173188949882,0.12707050858025856,0.8885135135135135,0.8883719259463297,0.892511396469179,0.8885135135135135
5,0.2057213837541239,0.8556231003039514,0.8555298740833285,0.13039213611169698,0.9060810810810811,0.9057272259724682,0.907921874801313,0.9060810810810811
6,0.2052957277584781,0.853259034110098,0.8531165230884618,0.10998387975578612,0.9128378378378378,0.912649189920353,0.9146985001751986,0.9128378378378378
7,0.19940638053481297,0.8628841607565012,0.8629126949885108,0.12055414816007969,0.8972972972972973,0.8965124496282884,0.9035990281824574,0.8972972972972973
8,0.20029957979036275,0.8566362715298885,0.8564262215668607,0.14757040616600436,0.893918918918919,0.893679656060426,0.9001568913391177,0.893918918918919
9,0.17706881084990117,0.8657548125633232,0.865657706979187,0.1021670534850118,0.9135135135135135,0.9134114169806643,0.9156796518360146,0.9135135135135135
10,0.18187006352649582,0.8676122931442081,0.867464368820432,0.11885712442404413,0.8932432432432432,0.8927900856326223,0.9044311401354084,0.8932432432432432
11,0.1835426768908898,0.8557919621749409,0.8557123374873472,0.10764003663938096,0.8918918918918919,0.88995711816867,0.9082820808104165,0.8918918918918919
12,0.17135354628165564,0.8676122931442081,0.8675079534909178,0.09725539461570851,0.8986486486486487,0.896757892194181,0.9061757102067591,0.8986486486486487
13,0.1937463303567261,0.861870989530564,0.8617885979431579,0.08767460221226545,0.9168918918918919,0.9165369958249141,0.9195485393364834,0.9168918918918919
14,0.18048262437905677,0.8748733535967579,0.8748173500066694,0.1366643265999378,0.8891891891891892,0.8893122932375936,0.9058165901072678,0.8891891891891892
15,0.17331050418477545,0.8696386355960825,0.8695005520432627,0.10748990341783204,0.8898648648648648,0.8894018500994302,0.8983461786699865,0.8898648648648648
16,0.16252080746676012,0.8780817291455589,0.8778486034563535,0.17300276569229492,0.8851351351351351,0.8853049343404797,0.8949888689670574,0.8851351351351351
17,0.17064940506812706,0.8720027017899359,0.8718601377957367,0.08332094692803443,0.9155405405405406,0.9155972361677662,0.9198929285085539,0.9155405405405406
18,0.15455728056289816,0.8801080715974333,0.8799801847202391,0.0837602287213853,0.9195945945945946,0.9196216764801665,0.923347578711107,0.9195945945945946
19,0.16112236826810786,0.8833164471462344,0.8832347884880964,0.11802694788004489,0.9006756756756756,0.8998656360345518,0.9101460601751288,0.9006756756756756
20,0.17833713908749882,0.8696386355960825,0.8696167644780706,0.09349082174532591,0.9168918918918919,0.9168246479085154,0.9235765016218793,0.9168918918918919
21,0.14797898259774972,0.8843296183721716,0.8841492374356448,0.06473884137069925,0.9445945945945946,0.9446553316072652,0.9452423000751451,0.9445945945945946
22,0.1606543188794486,0.8802769334684228,0.8801877237119264,0.12221308405253481,0.8864864864864865,0.8868963079152943,0.9006403861472099,0.8864864864864865
23,0.15016501198612875,0.8875379939209727,0.8874495272866454,0.08219750847746717,0.9168918918918919,0.9169905343830389,0.923328791876413,0.9168918918918919
24,0.14305061490465237,0.8843296183721716,0.8842035444353086,0.11693671900541225,0.9,0.9003763786446628,0.9120295827759967,0.9
25,0.15018760002348372,0.8865248226950354,0.8864560110512528,0.12717318333725028,0.902027027027027,0.9023605307073983,0.9121756093497995,0.902027027027027
26,0.11825520177722297,0.9076325565687268,0.9075050748854022,0.07326047928964204,0.9175675675675675,0.9161486382735577,0.9282305900625633,0.9175675675675675
