Year,Region,Temperature,Humidity_PER,Rainfall,Leaf_type,Disease,Image_URL,VARI,ExG,CIVE,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,LBP_Feature,Edge_Density
2551,North,25.96,62.14,113.05,1,Healthy,images\image_00000.jpg,0.10527864905265036,26.192563821778112,9.708186475942778,39.46386782376503,0.3166918230586811,0.0275836387522457,0.05867037853721923,3.8488
2551,East,27.42,88.87,189.75,1,Healthy,images\image_00001.jpg,0.39360378680985064,88.13089434890485,-15.653300330713988,63.56942620387743,0.29982044248562045,0.030369458050116083,0.08122172174288902,3.804708222811671
2551,South,34.6,65.7,110.8,1,Healthy,images\image_00002.jpg,0.14950630213962274,46.61015872461465,1.8074233501568402,62.48249491869919,0.28240737884964795,0.028244250328089745,0.08362773205713991,2.588693633952255
2551,South,26.4,65.0,151.3,1,Healthy,images\image_00003.jpg,0.19983057150439157,47.72125830012604,1.171939211108774,113.87752306128831,0.31158932313642174,0.03064936697255195,0.06790458533914055,5.8309018567639255
2551,South,35.0,67.0,143.7,1,Healthy,images\image_00004.jpg,0.1223330335077774,44.12971484767256,2.887383348963038,84.63315939649782,0.22352638157763344,0.02159978515064819,0.0831657476115868,2.6115716180371353
2551,South,32.06,89.39,179.09,1,Healthy,images\image_00005.jpg,-0.02629380076018409,24.227984638240034,10.763392494152413,144.0877272128556,0.2779131104707807,0.02064702987108649,0.07216731404971995,6.159146942800789
2551,North,33.62,80.61,168.49,1,Healthy,images\image_00006.jpg,0.17223363124881716,72.49007856588638,-8.305829981598716,15.960639462163856,0.45111059184375596,0.0413300960294374,0.059408410558176174,1.0588527851458887
2551,East,26.4,60.7,127.6,1,Healthy,images\image_00007.jpg,0.1684839344814253,52.085278177643836,-0.41909309174174225,25.04561053783615,0.3900421781585284,0.03595504634775647,0.06318641908983415,2.022214854111406
2551,Central,30.9,85.8,173.0,1,Healthy,images\image_00008.jpg,0.09027541278650908,57.96818622225548,-2.1635003253589944,79.80797568792997,0.28149956230507933,0.0205930140512932,0.07259033326621016,5.044595490716181
2551,North,32.33,82.29,153.7,0,Mosaic,images\image_00009.jpg,0.07121755432601552,63.45477278540695,-4.456733096440699,18.928311691517727,0.37866951872850435,0.028427147681849136,0.0488017293839463,0.8597448224852071
2551,South,25.95,86.39,212.91,0,Mosaic,images\image_00010.jpg,0.1561566624435992,139.1769356911333,-34.10805995416101,14.971481447539915,0.41638070797335086,0.037045269039911406,0.046616952040627005,1.3174247741699219
2551,East,29.51,79.59,114.99,0,Mosaic,images\image_00011.jpg,0.0059584605893441365,66.53799932485653,-4.104877737144151,337.2770401337792,0.5599644442239851,0.06126163515585696,0.08971101893368022,10.42525
2551,Central,28.92,87.84,261.44,0,Mosaic,images\image_00012.jpg,0.0059584605893441365,66.53799932485653,-4.104877737144151,337.2770401337792,0.5599644442239851,0.06126163515585696,0.08971101893368022,10.42525
2551,South,29.5,86.2,180.8,0,Mosaic,images\image_00013.jpg,0.2238558744829799,47.15621293487918,1.2164799059448552,4.31925298744502,0.6285170716504624,0.05908435589711817,0.04230169340698848,0.473474801061008
2551,South,31.0,82.3,153.7,0,Mosaic,images\image_00014.jpg,0.30072858310509504,77.98341847358338,-11.385860986331295,7.536401657285804,0.4978863412881881,0.05455073144719264,0.05083703338517291,0.048242705570291776
2551,South,34.7,84.6,108.1,0,Mosaic,images\image_00015.jpg,0.09761391393668724,40.74611930691662,4.364457093170232,27.519746716697934,0.33888101124356185,0.03386471907119329,0.057467120752181446,1.9719827586206897
2551,Central,27.95,64.95,204.23,0,Mosaic,images\image_00016.jpg,0.024506261845568034,61.72134332410713,-2.911254430602899,18.38634802558398,0.45431877581279934,0.03794232781137474,0.05003346706517586,0.86434375
2551,South,25.17,73.64,128.49,0,Mosaic,images\image_00017.jpg,-0.014814400327078443,32.45593842126882,8.424113571290091,28.245473442714125,0.4099866925330582,0.03363330299975376,0.05753358218920684,0.88346875
2551,East,33.6,86.8,168.1,1,Healthy,images\image_00018.jpg,0.006672518476526758,41.66436075293277,4.9404033416013755,26.978867651657286,0.40360014846851267,0.03169923747003645,0.04861113166019174,2.310179045092838
2551,East,34.1,65.9,196.8,1,Healthy,images\image_00019.jpg,0.09396826640288734,52.48468811079238,-0.09512587189019406,112.17882270168856,0.2355666822365969,0.01895280439967306,0.0673882803497798,5.235079575596817
2551,Central,37.8,85.5,196.0,1,Healthy,images\image_00020.jpg,0.07241586108456165,70.41215637180758,-7.156065696023575,202.71399898373983,0.2832310854938823,0.024367610000041555,0.0720194862357196,15.475464190981432
2551,Northeast,27.84,67.18,217.91,1,Healthy,images\image_00021.jpg,0.05085651024389821,77.59937827096368,-9.610438855061755,115.47941877736085,0.23967476402212073,0.02349320232907219,0.08444298364938359,4.676558355437666
2551,Northeast,28.64,72.85,153.69,1,Healthy,images\image_00022.jpg,0.16066328032118385,68.17204927294316,-6.705264562258673,20.067729737011128,0.45817653984236795,0.03912433849167714,0.06991874878476893,5.324602122015915
2551,East,26.27,86.98,136.86,1,Healthy,images\image_00023.jpg,0.11944782101363938,100.84050141854246,-19.221516219964183,28.12363672286618,0.3696494287138855,0.03184796994204589,0.061261963084947635,2.415458579881657
2551,East,34.62,85.22,184.98,1,Healthy,images\image_00024.jpg,0.0955615777378564,76.28099604371201,-9.315497540511167,107.64663266103815,0.26964093871152905,0.024572510098822525,0.08215220919555251,3.8624005305039786
2551,North,27.54,89.51,262.18,1,Healthy,images\image_00025.jpg,0.16509576172035315,81.1448400033083,-11.94638459550708,292.8350375234522,0.17295643246574938,0.015801316733086247,0.09899807438069538,16.57509946949602
2551,Central,30.5,66.43,266.08,1,Healthy,images\image_00026.jpg,0.1805871032893963,99.5080922127141,-19.07843737456824,29.90250938086304,0.35950282915576526,0.03869120952430613,0.06676831029704769,2.0142572944297084
2551,Northeast,29.2,78.51,167.29,1,Healthy,images\image_00027.jpg,0.1684839344814253,52.085278177643836,-0.41909309174174225,25.04561053783615,0.3900421781585284,0.03595504634775647,0.06318641908983415,2.022214854111406
2551,Northeast,28.1,84.74,128.41,1,Healthy,images\image_00028.jpg,0.04641811125012544,41.99681300080103,4.248636514167563,6.029092401500938,0.6107359956253245,0.06353028338064752,0.03879122642486468,0.666445623342175
